fold,modality,accuracy,macro_f1,test_episodes,features
test_bottle_cap,force,0.8,0.7954144620811286,45,176
test_bottle_cap,gelsight,0.5555555555555556,0.5420751633986928,45,144
test_bottle_cap,combined,0.7333333333333333,0.7352462352462353,45,320
test_chips_can,force,0.6727272727272727,0.6613367719750699,55,176
test_chips_can,gelsight,0.4909090909090909,0.4841269841269842,55,144
test_chips_can,combined,0.6727272727272727,0.6565696649029983,55,320
test_foam_brick,force,0.6981132075471698,0.6982570806100218,53,176
test_foam_brick,gelsight,0.41509433962264153,0.38888888888888884,53,144
test_foam_brick,combined,0.7547169811320755,0.7527233115468409,53,320
test_marker,force,0.5238095238095238,0.512962962962963,42,176
test_marker,gelsight,0.5238095238095238,0.5095238095238095,42,144
test_marker,combined,0.5476190476190477,0.5343718515074013,42,320
test_orange,force,0.49056603773584906,0.44579945799458004,53,176
test_orange,gelsight,0.6037735849056604,0.5707380465617522,53,144
test_orange,combined,0.5660377358490566,0.47345775917204486,53,320
test_paper_cup,force,0.7692307692307693,0.7011764705882353,26,176
test_paper_cup,gelsight,0.5769230769230769,0.5636752136752138,26,144
test_paper_cup,combined,0.6923076923076923,0.6103703703703703,26,320
test_softball,force,0.71875,0.7181818181818181,32,176
test_softball,gelsight,0.5625,0.5532763532763533,32,144
test_softball,combined,0.6875,0.6900584795321637,32,320
