fold,modality,accuracy,macro_f1,test_episodes,features
test_bottle_cap,force,0.8,0.7989883054115644,45,100
test_bottle_cap,gelsight,0.6,0.5825163398692811,45,100
test_bottle_cap,combined,0.7555555555555555,0.7569028672476948,45,100
test_chips_can,force,0.6727272727272727,0.6613367719750699,55,100
test_chips_can,gelsight,0.4909090909090909,0.48936886867921353,55,100
test_chips_can,combined,0.7454545454545455,0.7455622140054118,55,100
test_foam_brick,force,0.7169811320754716,0.7164021164021164,53,100
test_foam_brick,gelsight,0.41509433962264153,0.3903551645487129,53,100
test_foam_brick,combined,0.7358490566037735,0.7342047930283225,53,100
test_marker,force,0.5476190476190477,0.541010101010101,42,100
test_marker,gelsight,0.47619047619047616,0.4755378720895962,42,100
test_marker,combined,0.5476190476190477,0.5181224004753416,42,100
test_orange,force,0.5471698113207547,0.48756613756613754,53,100
test_orange,gelsight,0.5660377358490566,0.5136507936507936,53,100
test_orange,combined,0.6037735849056604,0.5297101449275362,53,100
test_paper_cup,force,0.7692307692307693,0.6981481481481482,26,100
test_paper_cup,gelsight,0.5769230769230769,0.5636752136752138,26,100
test_paper_cup,combined,0.8461538461538461,0.8153846153846155,26,100
test_softball,force,0.71875,0.7207729468599035,32,100
test_softball,gelsight,0.5625,0.5532763532763533,32,100
test_softball,combined,0.6875,0.6900584795321637,32,100
