rank,feature,importance,sensor
1,left_torque_norm_delta_current,0.036640678,Torque
2,right_force_ty_current,0.024363874,Force
3,right_torque_norm_current,0.023752814,Torque
4,left_torque_norm_current,0.020837681,Torque
5,right_torque_norm_delta_current,0.018988527,Torque
6,right_force_norm_delta_max,0.018794166,Force
7,right_gelsight_contact_area_range,0.016991189,GelSight
8,right_force_fx_min,0.01350217,Force
9,right_force_fx_current,0.012205695,Force
10,right_force_norm_current,0.011514204,Force
11,left_force_norm_std,0.011460527,Force
12,right_torque_norm_delta_max,0.011398899,Torque
13,right_force_tx_std,0.01079667,Force
14,left_force_ty_current,0.010256046,Force
15,left_force_tx_p95,0.009937435,Force
16,left_force_ty_slope,0.009055605,Force
17,left_force_tx_std,0.00880193,Force
18,left_force_norm_delta_max,0.008169359,Force
19,left_gelsight_center_x_mean,0.008123249,GelSight
20,left_force_tx_min,0.007923404,Force
21,left_torque_norm_mean,0.007817603,Torque
22,left_force_fx_current,0.0077492725,Force
23,right_force_norm_delta_current,0.0075983633,Force
24,left_torque_norm_delta_min,0.0071326005,Torque
25,left_force_fz_max,0.0066659115,Force
26,left_force_ty_max,0.006338157,Force
27,left_force_norm_current,0.006263718,Force
28,left_force_fz_range,0.006179886,Force
29,left_gelsight_raw_diff_mean_current,0.0060926448,GelSight
30,left_gelsight_raw_diff_mean_slope,0.0060526826,GelSight
31,left_force_tz_range,0.0060232207,Force
32,right_force_fx_range,0.0059338575,Force
33,left_gelsight_diff_max_current,0.0059223375,GelSight
34,left_force_norm_delta_min,0.005826865,Force
35,right_force_tx_range,0.005780363,Force
36,right_gelsight_raw_diff_mean_mean,0.005768811,GelSight
37,right_gelsight_center_x_current,0.0056999465,GelSight
38,right_gelsight_center_x_std,0.005632263,GelSight
39,right_force_fy_max,0.005545437,Force
40,left_gelsight_center_x_current,0.005496213,GelSight
41,left_force_ty_std,0.0054763663,Force
42,right_gelsight_raw_diff_mean_max,0.005445185,GelSight
43,left_force_tz_std,0.0054324362,Force
44,right_force_ty_min,0.0054196795,Force
45,right_force_tz_p95,0.005336601,Force
46,right_force_tz_std,0.0052762153,Force
47,left_torque_norm_delta_mean,0.00506992,Torque
48,right_force_tz_max,0.0049985843,Force
49,right_gelsight_center_x_range,0.004978739,GelSight
50,torque_balance_ratio_current,0.0049402774,Torque
51,left_torque_norm_delta_range,0.004937954,Torque
52,left_force_fz_min,0.004936738,Force
53,left_force_fy_range,0.0049152207,Force
54,right_gelsight_center_x_slope,0.004804332,GelSight
55,right_force_fy_std,0.004796258,Force
56,right_torque_norm_delta_range,0.0047949813,Torque
57,right_torque_norm_max,0.0047641075,Torque
58,left_force_fx_max,0.0047605713,Force
59,force_balance_absdiff_current,0.004592742,Force
60,right_gelsight_center_y_std,0.00454618,GelSight
61,right_gelsight_center_y_missing_ratio,0.0045357933,GelSight
62,left_gelsight_center_y_current,0.0045322357,GelSight
63,right_force_ty_p95,0.0045049884,Force
64,force_balance_ratio_mean,0.0044924985,Force
65,left_gelsight_center_y_p95,0.004474375,GelSight
66,left_force_tz_mean,0.0044272565,Force
67,left_gelsight_contact_area_slope,0.0043966137,GelSight
68,right_force_norm_delta_std,0.0043937922,Force
69,left_force_fy_current,0.004299226,Force
70,left_force_ty_range,0.0042763907,Force
71,right_gelsight_raw_diff_mean_min,0.0042443094,GelSight
72,left_force_tz_min,0.0042398507,Force
73,right_force_fz_range,0.004217183,Force
74,left_gelsight_diff_mean_std,0.0042139194,GelSight
75,left_gelsight_center_y_min,0.0041850265,GelSight
76,right_force_tz_mean,0.004152679,Force
77,left_force_fz_p95,0.004083441,Force
78,right_force_tz_min,0.0040823407,Force
79,right_gelsight_diff_mean_range,0.004064476,GelSight
80,left_gelsight_diff_mean_range,0.004056063,GelSight
81,right_force_tz_slope,0.0040278276,Force
82,right_force_norm_delta_min,0.0039384514,Force
83,left_gelsight_diff_mean_current,0.003930956,GelSight
84,left_force_fz_mean,0.0039229025,Force
85,right_torque_norm_min,0.0039020153,Torque
86,left_force_tx_current,0.0038861982,Force
87,right_gelsight_center_y_range,0.003839902,GelSight
88,right_force_fy_min,0.0037970722,Force
89,left_gelsight_center_x_p95,0.0037823229,GelSight
90,right_force_fx_std,0.0037674613,Force
91,right_force_tz_range,0.003690365,Force
92,right_gelsight_diff_mean_std,0.0036847282,GelSight
93,left_force_tx_range,0.003647563,Force
94,left_force_tx_mean,0.0036221643,Force
95,right_gelsight_diff_p95_std,0.0036201118,GelSight
96,left_gelsight_diff_p95_mean,0.0036007352,GelSight
97,right_force_fy_p95,0.0035539663,Force
98,right_gelsight_raw_diff_mean_range,0.0035225747,GelSight
99,right_force_tz_current,0.0035174633,Force
100,gelsight_diff_balance_ratio_max,0.0034219243,GelSight
