feature,importance
left_torque_norm_current,0.06551382
right_force_ty_current,0.022181714
right_torque_norm_delta_current,0.019115582
left_gelsight_area_max,0.018322203
right_torque_norm_current,0.015420198
right_force_fx_min,0.01522016
left_torque_norm_delta_current,0.014445557
right_force_fx_current,0.013772968
right_force_ty_range,0.012860709
right_force_norm_delta_current,0.012102042
left_force_fx_current,0.011845061
left_force_norm_current,0.011205685
right_torque_norm_max,0.011095287
right_force_norm_current,0.010429184
right_force_norm_delta_max,0.0102082845
left_force_ty_max,0.009202757
left_force_tx_std,0.008778608
right_gelsight_raw_diff_mean_current,0.0078657605
left_torque_norm_delta_mean,0.007706637
left_force_norm_delta_min,0.007653316
left_gelsight_center_x_mean,0.0072298823
left_force_fz_max,0.007214036
right_force_norm_min,0.0068504885
left_force_tx_min,0.0068490026
right_force_tz_max,0.006599086
left_force_tz_range,0.006376615
left_torque_norm_min,0.0062933485
left_torque_norm_range,0.006283834
left_force_norm_delta_slope,0.006228894
left_force_fz_range,0.0062198015
left_gelsight_center_y_min,0.006139499
right_force_fy_p95,0.006122444
right_force_tz_std,0.0060554114
right_force_tx_std,0.005886557
left_force_tz_min,0.0057994276
right_force_norm_delta_std,0.005767782
right_force_tz_p95,0.0056981617
right_gelsight_raw_diff_mean_range,0.005647069
right_force_norm_delta_min,0.0056231157
right_force_tx_range,0.005615768
left_gelsight_center_y_current,0.0055752164
right_force_fx_p95,0.0054444284
force_balance_absdiff_current,0.005387013
torque_balance_ratio_current,0.005307161
left_force_ty_std,0.005301586
right_gelsight_center_x_slope,0.005271279
left_gelsight_center_x_current,0.0051896544
right_gelsight_center_x_current,0.0051875124
gelsight_area_balance_ratio_current,0.005171901
left_gelsight_center_y_max,0.005140621
left_force_tx_p95,0.005118841
right_force_fy_max,0.0051154057
right_gelsight_center_x_range,0.0050674216
left_gelsight_contact_area_slope,0.0049765627
left_gelsight_center_x_p95,0.004973349
left_force_fz_mean,0.004941855
right_torque_norm_delta_max,0.0048477636
right_force_fx_range,0.0048372545
right_gelsight_raw_diff_mean_mean,0.0046596187
left_force_tx_range,0.004569185
left_torque_norm_delta_max,0.0045485343
left_gelsight_center_y_p95,0.0045320946
left_force_fz_p95,0.004471967
left_force_tz_p95,0.0044685937
force_balance_ratio_slope,0.004452263
left_torque_norm_delta_range,0.004442057
left_force_tz_std,0.0044410415
right_force_norm_std,0.0044281646
left_torque_norm_delta_min,0.004419362
right_force_fz_current,0.0043549277
right_force_tz_min,0.0042898715
right_gelsight_diff_p95_std,0.004204118
left_force_norm_std,0.00415239
right_force_fy_mean,0.0040639113
right_force_tz_range,0.004060987
gelsight_diff_balance_absdiff_max,0.003963249
left_gelsight_center_x_max,0.003915936
right_gelsight_center_y_std,0.0038631689
right_force_ty_p95,0.0038407098
left_torque_norm_mean,0.003770359
left_force_tx_mean,0.0037323728
left_force_norm_delta_max,0.0037308163
right_force_tx_max,0.0036941105
right_gelsight_contact_area_current,0.0036886644
left_gelsight_diff_max_p95,0.003681766
right_gelsight_diff_mean_max,0.0036438245
left_force_fy_current,0.0036167032
right_force_tz_slope,0.003554552
left_force_norm_delta_std,0.003500809
left_force_ty_mean,0.0034965654
right_force_tz_mean,0.0034895502
right_force_fy_min,0.0034604268
left_force_ty_current,0.0034589167
left_force_norm_mean,0.0034279225
right_force_fy_range,0.003422566
left_gelsight_center_x_std,0.0034181261
right_gelsight_diff_mean_current,0.0033923353
left_force_ty_range,0.0033615415
left_gelsight_diff_max_current,0.0033556623
right_gelsight_center_y_p95,0.0033554991
right_gelsight_center_x_std,0.0033501764
left_gelsight_center_y_std,0.0033281033
left_force_tx_slope,0.0032786797
left_force_fx_p95,0.003278567
gelsight_diff_balance_ratio_max,0.0032763514
force_balance_absdiff_mean,0.003270776
left_gelsight_contact_area_mean,0.0032611794
right_gelsight_diff_mean_range,0.003241141
right_gelsight_center_x_missing_ratio,0.0032225165
right_force_fz_range,0.0032173493
right_gelsight_diff_max_std,0.0032038686
left_gelsight_slip_rate,0.0032027324
left_gelsight_center_y_range,0.0031850587
left_gelsight_raw_diff_mean_max,0.0031568354
right_gelsight_raw_diff_mean_min,0.0031230275
force_balance_absdiff_slope,0.003108054
gelsight_area_balance_absdiff_slope,0.003094872
left_gelsight_raw_diff_mean_std,0.0030895644
left_gelsight_diff_max_max,0.0030755524
left_force_fz_min,0.0030481212
left_gelsight_area_mean,0.00303443
left_gelsight_area_stability,0.0030165853
gelsight_area_balance_absdiff_max,0.0029790571
right_force_tz_current,0.002957164
right_gelsight_center_x_p95,0.0029428436
right_torque_norm_slope,0.0029304815
left_gelsight_contact_area_p95,0.0029133505
gelsight_diff_balance_absdiff_slope,0.00291139
right_gelsight_diff_mean_min,0.0029050289
force_balance_ratio_current,0.0029031697
left_gelsight_center_x_range,0.0029015762
left_force_tz_slope,0.002884374
right_force_norm_slope,0.002865536
right_gelsight_center_y_range,0.0028632954
