feature,importance
left_torque_norm_delta_current,0.036640678
right_force_ty_current,0.024363874
right_torque_norm_current,0.023752814
left_torque_norm_current,0.020837681
right_torque_norm_delta_current,0.018988527
right_force_norm_delta_max,0.018794166
right_gelsight_contact_area_range,0.016991189
right_force_fx_min,0.01350217
right_force_fx_current,0.012205695
right_force_norm_current,0.011514204
left_force_norm_std,0.011460527
right_torque_norm_delta_max,0.011398899
right_force_tx_std,0.01079667
left_force_ty_current,0.010256046
left_force_tx_p95,0.009937435
left_force_ty_slope,0.009055605
left_force_tx_std,0.00880193
left_force_norm_delta_max,0.008169359
left_gelsight_center_x_mean,0.008123249
left_force_tx_min,0.007923404
left_torque_norm_mean,0.007817603
left_force_fx_current,0.0077492725
right_force_norm_delta_current,0.0075983633
left_torque_norm_delta_min,0.0071326005
left_force_fz_max,0.0066659115
left_force_ty_max,0.006338157
left_force_norm_current,0.006263718
left_force_fz_range,0.006179886
left_gelsight_raw_diff_mean_current,0.0060926448
left_gelsight_raw_diff_mean_slope,0.0060526826
left_force_tz_range,0.0060232207
right_force_fx_range,0.0059338575
left_gelsight_diff_max_current,0.0059223375
left_force_norm_delta_min,0.005826865
right_force_tx_range,0.005780363
right_gelsight_raw_diff_mean_mean,0.005768811
right_gelsight_center_x_current,0.0056999465
right_gelsight_center_x_std,0.005632263
right_force_fy_max,0.005545437
left_gelsight_center_x_current,0.005496213
left_force_ty_std,0.0054763663
right_gelsight_raw_diff_mean_max,0.005445185
left_force_tz_std,0.0054324362
right_force_ty_min,0.0054196795
right_force_tz_p95,0.005336601
right_force_tz_std,0.0052762153
left_torque_norm_delta_mean,0.00506992
right_force_tz_max,0.0049985843
right_gelsight_center_x_range,0.004978739
torque_balance_ratio_current,0.0049402774
left_torque_norm_delta_range,0.004937954
left_force_fz_min,0.004936738
left_force_fy_range,0.0049152207
right_gelsight_center_x_slope,0.004804332
right_force_fy_std,0.004796258
right_torque_norm_delta_range,0.0047949813
right_torque_norm_max,0.0047641075
left_force_fx_max,0.0047605713
force_balance_absdiff_current,0.004592742
right_gelsight_center_y_std,0.00454618
right_gelsight_center_y_missing_ratio,0.0045357933
left_gelsight_center_y_current,0.0045322357
right_force_ty_p95,0.0045049884
force_balance_ratio_mean,0.0044924985
left_gelsight_center_y_p95,0.004474375
left_force_tz_mean,0.0044272565
left_gelsight_contact_area_slope,0.0043966137
right_force_norm_delta_std,0.0043937922
left_force_fy_current,0.004299226
left_force_ty_range,0.0042763907
right_gelsight_raw_diff_mean_min,0.0042443094
left_force_tz_min,0.0042398507
right_force_fz_range,0.004217183
left_gelsight_diff_mean_std,0.0042139194
left_gelsight_center_y_min,0.0041850265
right_force_tz_mean,0.004152679
left_force_fz_p95,0.004083441
right_force_tz_min,0.0040823407
right_gelsight_diff_mean_range,0.004064476
left_gelsight_diff_mean_range,0.004056063
right_force_tz_slope,0.0040278276
right_force_norm_delta_min,0.0039384514
left_gelsight_diff_mean_current,0.003930956
left_force_fz_mean,0.0039229025
right_torque_norm_min,0.0039020153
left_force_tx_current,0.0038861982
right_gelsight_center_y_range,0.003839902
right_force_fy_min,0.0037970722
left_gelsight_center_x_p95,0.0037823229
right_force_fx_std,0.0037674613
right_force_tz_range,0.003690365
right_gelsight_diff_mean_std,0.0036847282
left_force_tx_range,0.003647563
left_force_tx_mean,0.0036221643
right_gelsight_diff_p95_std,0.0036201118
left_gelsight_diff_p95_mean,0.0036007352
right_force_fy_p95,0.0035539663
right_gelsight_raw_diff_mean_range,0.0035225747
right_force_tz_current,0.0035174633
gelsight_diff_balance_ratio_max,0.0034219243
right_gelsight_center_x_p95,0.003414106
left_force_ty_p95,0.0033917087
right_force_norm_slope,0.0033882656
left_force_tx_slope,0.0033180946
right_gelsight_raw_diff_mean_p95,0.0033004733
right_force_norm_delta_p95,0.0032792797
right_force_fy_current,0.0032640821
right_force_fz_std,0.0032572276
right_torque_norm_slope,0.0032555126
torque_balance_absdiff_mean,0.003226212
left_gelsight_area_mean,0.0031955596
left_gelsight_center_y_std,0.0031791886
left_gelsight_diff_max_slope,0.003161509
right_force_fx_mean,0.0031468745
left_gelsight_center_x_min,0.0031430533
left_force_fx_min,0.0030581066
gelsight_diff_balance_ratio_current,0.003039728
right_gelsight_diff_max_p95,0.0030379773
force_balance_absdiff_mean,0.0030207564
right_force_norm_delta_slope,0.0030183478
right_force_tx_max,0.0029594041
right_gelsight_diff_mean_min,0.002954197
right_force_fz_slope,0.0029228525
right_force_norm_min,0.0029025876
right_gelsight_diff_mean_slope,0.0028900842
gelsight_diff_balance_absdiff_max,0.002872699
left_gelsight_area_stability,0.0028673715
left_gelsight_center_x_std,0.0028662863
right_force_fx_max,0.002854977
right_torque_norm_delta_slope,0.0028286965
left_gelsight_diff_max_max,0.0028209996
right_gelsight_diff_p95_current,0.0028126752
left_gelsight_diff_max_std,0.0028053597
left_gelsight_contact_area_p95,0.0027914904
left_force_fy_std,0.0027635968
right_gelsight_contact_area_slope,0.0027635195
right_gelsight_diff_mean_max,0.002750037
right_gelsight_center_y_p95,0.002721624
left_gelsight_raw_diff_mean_std,0.0027163161
right_force_fz_current,0.0026956578
right_gelsight_slip_rate,0.0026628056
left_force_fy_max,0.002654125
right_gelsight_center_x_mean,0.0026469536
right_force_fy_mean,0.0026349286
right_gelsight_contact_area_p95,0.0026083603
right_gelsight_raw_diff_mean_current,0.0026047693
right_gelsight_center_x_missing_ratio,0.0026043218
left_gelsight_diff_mean_max,0.0025990042
torque_balance_ratio_mean,0.0025562476
force_balance_ratio_current,0.0025321234
gelsight_area_balance_ratio_mean,0.0025021017
left_gelsight_slip_rate,0.002497706
right_force_tx_slope,0.002489419
left_gelsight_diff_max_mean,0.0024418032
right_gelsight_center_y_current,0.0024154386
left_gelsight_diff_mean_slope,0.0024074898
left_gelsight_center_x_range,0.0024011964
right_gelsight_contact_area_current,0.0023882661
right_gelsight_center_y_slope,0.0023802451
left_gelsight_center_x_max,0.002374838
gelsight_diff_balance_absdiff_slope,0.0023222
right_gelsight_diff_mean_mean,0.002308153
left_gelsight_center_y_slope,0.0022940547
gelsight_diff_balance_ratio_mean,0.0022225399
right_gelsight_center_x_min,0.0022063416
