feature,importance
left_force_fx_max,0.041764103
left_torque_norm_current,0.03901558
right_torque_norm_delta_current,0.033858392
right_force_fx_current,0.03196593
right_force_norm_max,0.0315718
right_torque_norm_current,0.026526451
left_torque_norm_delta_current,0.025743451
right_force_ty_current,0.020284979
right_force_norm_current,0.019579453
right_force_ty_range,0.019410027
right_force_fx_min,0.019256977
right_torque_norm_max,0.016768413
left_force_ty_max,0.012281927
left_force_fx_current,0.011666531
right_force_norm_delta_max,0.0114819575
left_force_tx_min,0.0111862635
right_force_norm_delta_current,0.0108511755
right_force_fx_std,0.010514755
right_force_tx_std,0.0102706505
left_force_ty_current,0.010080124
left_force_tz_std,0.009838457
right_torque_norm_delta_max,0.009543635
left_force_tx_std,0.008561694
right_force_tx_range,0.008460791
left_force_fy_min,0.008458267
right_force_tz_max,0.008160398
right_force_tx_min,0.00803585
left_force_fz_max,0.007991813
right_force_fy_p95,0.007957061
left_force_norm_delta_max,0.0077943625
right_force_tz_std,0.0076578897
left_force_ty_std,0.0072321487
torque_balance_ratio_current,0.007199755
left_force_fy_current,0.006676485
left_torque_norm_delta_range,0.0065913047
right_force_fz_mean,0.0065285084
right_force_tz_current,0.00644908
left_torque_norm_slope,0.0063476423
left_force_tx_range,0.0063150157
right_force_fy_mean,0.0062811323
right_force_tz_p95,0.006176225
right_force_tz_range,0.0061333696
left_force_tz_range,0.006133141
left_force_tx_current,0.006031469
left_torque_norm_delta_mean,0.005844862
right_force_fx_p95,0.0057722335
left_force_ty_range,0.005755103
left_force_fz_range,0.0056491345
left_torque_norm_mean,0.005640815
left_force_norm_delta_current,0.005630114
right_force_tz_mean,0.0055721644
left_force_norm_delta_min,0.005505961
left_force_norm_delta_std,0.0054975166
left_torque_norm_std,0.0054802913
left_torque_norm_range,0.00534422
left_force_tz_min,0.005339633
left_force_fz_mean,0.005295132
right_force_fy_std,0.0052863895
left_force_fx_slope,0.0052853534
right_force_norm_mean,0.0051978035
left_force_fx_mean,0.005061162
force_balance_ratio_mean,0.0050004767
left_torque_norm_delta_min,0.004853665
left_force_norm_p95,0.004803577
right_force_norm_delta_std,0.004776549
left_force_norm_delta_mean,0.004764903
left_force_tx_slope,0.004649175
right_force_fz_min,0.0045953034
right_force_ty_min,0.0045763003
right_force_fy_max,0.0045750067
right_force_fy_current,0.0045525096
left_torque_norm_max,0.0045516603
right_force_fy_min,0.0045411126
left_force_fz_p95,0.0044733025
right_force_fx_range,0.004452475
left_force_fy_range,0.0044521256
torque_balance_absdiff_mean,0.0043739057
left_force_tz_slope,0.0043448634
right_torque_norm_slope,0.0042938837
right_force_fz_max,0.0042893295
right_force_tz_min,0.004171385
