feature,importance
left_torque_norm_delta_current,0.046633177
right_torque_norm_current,0.036317635
left_torque_norm_current,0.032827437
right_force_norm_delta_current,0.02498976
right_force_norm_delta_max,0.022013696
right_torque_norm_delta_current,0.021808552
left_force_ty_current,0.020103555
right_force_ty_current,0.017540937
right_torque_norm_delta_max,0.016257672
left_force_fx_max,0.015112097
right_force_fx_min,0.014128406
right_force_fx_current,0.013905082
right_torque_norm_max,0.013843572
left_force_fx_current,0.012520214
left_force_ty_max,0.012216803
right_force_tz_max,0.011262225
right_force_tx_std,0.01115843
right_force_norm_min,0.011106712
right_force_norm_max,0.010998446
right_force_norm_current,0.010879215
left_force_tz_std,0.010366404
left_force_tx_min,0.010174547
left_force_fz_range,0.010156949
right_force_tx_range,0.0096349325
left_force_fz_max,0.0093434565
left_force_norm_delta_current,0.009084721
left_torque_norm_range,0.009066984
left_force_tx_std,0.008626641
right_force_fx_std,0.0078099202
right_force_fz_mean,0.0076914923
right_force_tz_p95,0.0076156827
right_force_fx_range,0.0076056677
left_force_ty_std,0.0074970797
force_balance_absdiff_mean,0.007495018
right_force_tz_std,0.007433971
left_torque_norm_slope,0.0074310745
right_force_fx_p95,0.0074064373
left_force_fy_current,0.007217541
left_force_tx_slope,0.0069184834
left_force_norm_delta_max,0.00683898
torque_balance_ratio_current,0.0067351745
right_force_norm_delta_std,0.006734888
right_force_tz_range,0.0067328024
right_force_fz_min,0.0067042895
right_force_norm_delta_min,0.0066859466
left_torque_norm_mean,0.006680409
right_force_tx_min,0.006436332
left_force_tz_min,0.006418377
left_torque_norm_delta_mean,0.006335485
left_torque_norm_delta_slope,0.0061844666
left_force_tx_range,0.006079603
right_force_fy_std,0.006036894
left_force_ty_range,0.005971757
left_torque_norm_delta_range,0.00590534
left_force_norm_delta_std,0.0058752103
left_force_norm_delta_min,0.005805708
right_force_ty_min,0.0056764754
left_force_tz_range,0.0056668804
left_force_norm_current,0.0055929553
left_torque_norm_delta_std,0.005477741
right_force_fy_min,0.005421743
right_torque_norm_slope,0.005375727
left_force_fz_mean,0.005303503
left_force_fy_max,0.005069435
left_force_tx_mean,0.0050284048
right_force_fy_p95,0.004993192
right_force_fy_mean,0.0049912767
left_force_norm_delta_slope,0.00494706
right_torque_norm_delta_min,0.004931451
left_force_fx_range,0.004777154
force_balance_absdiff_slope,0.0046741767
right_force_tz_current,0.0046710772
right_force_fy_max,0.004658656
right_force_ty_max,0.004628409
left_force_fx_slope,0.004589834
