feature,importance
gelsight_area_balance_absdiff_max,0.034718953
gelsight_diff_balance_absdiff_current,0.029343862
right_gelsight_contact_area_current,0.028558305
right_gelsight_raw_diff_mean_current,0.026487703
right_gelsight_diff_mean_current,0.022827132
right_gelsight_diff_mean_max,0.016332882
right_gelsight_diff_mean_slope,0.015270646
right_gelsight_diff_max_mean,0.013384449
right_gelsight_contact_area_range,0.012923807
right_gelsight_diff_max_current,0.012764823
left_gelsight_center_x_mean,0.012569934
left_gelsight_center_x_current,0.012460567
right_gelsight_area_max,0.012130659
right_gelsight_diff_p95_mean,0.011917251
gelsight_diff_balance_absdiff_max,0.011764879
left_gelsight_area_mean,0.011633568
right_gelsight_center_y_range,0.010860855
right_gelsight_center_y_std,0.010639893
right_gelsight_raw_diff_mean_max,0.0106348405
right_gelsight_diff_p95_current,0.01032542
left_gelsight_diff_mean_current,0.010324772
right_gelsight_raw_diff_mean_mean,0.010243494
right_gelsight_center_x_current,0.009928387
left_gelsight_center_x_missing_ratio,0.009925673
right_gelsight_raw_diff_mean_range,0.009877166
right_gelsight_raw_diff_mean_std,0.009735959
right_gelsight_slip_rate,0.009733258
gelsight_diff_balance_absdiff_mean,0.009652023
left_gelsight_center_y_max,0.009122846
left_gelsight_area_stability,0.009058104
left_gelsight_contact_area_slope,0.0090053845
gelsight_diff_balance_ratio_current,0.008976691
right_gelsight_diff_max_max,0.0086912485
right_gelsight_area_growth,0.008511572
right_gelsight_contact_area_slope,0.008489764
left_gelsight_raw_diff_mean_std,0.008359362
right_gelsight_center_x_range,0.008331411
right_gelsight_center_x_std,0.008263129
left_gelsight_diff_mean_max,0.008225615
right_gelsight_center_x_slope,0.00820334
left_gelsight_center_x_p95,0.008058605
right_gelsight_center_y_p95,0.008058466
gelsight_diff_balance_ratio_max,0.007892691
right_gelsight_center_y_max,0.007809345
left_gelsight_contact_area_std,0.007775506
left_gelsight_center_y_range,0.0077721933
left_gelsight_contact_area_mean,0.007762073
left_gelsight_raw_diff_mean_max,0.007757466
left_gelsight_center_x_max,0.007754822
left_gelsight_center_y_current,0.0075702295
left_gelsight_diff_max_current,0.0074353153
right_gelsight_raw_diff_mean_p95,0.007434751
left_gelsight_center_y_slope,0.007414871
left_gelsight_raw_diff_mean_range,0.007155524
right_gelsight_diff_mean_min,0.0071472186
gelsight_area_balance_ratio_current,0.007142588
left_gelsight_contact_area_range,0.0070196223
left_gelsight_raw_diff_mean_current,0.0070165996
gelsight_area_balance_ratio_mean,0.0067565995
gelsight_area_balance_ratio_max,0.0067534
right_gelsight_raw_diff_mean_min,0.006697078
left_gelsight_diff_mean_std,0.006669908
left_gelsight_center_x_min,0.006658218
gelsight_diff_balance_absdiff_slope,0.0065730233
right_gelsight_center_x_min,0.0065577417
right_gelsight_center_x_p95,0.0065436126
left_gelsight_center_y_std,0.006537428
right_gelsight_center_x_missing_ratio,0.006522455
right_gelsight_diff_max_p95,0.006521242
left_gelsight_diff_max_slope,0.006430018
gelsight_area_balance_absdiff_mean,0.006401375
gelsight_area_balance_absdiff_slope,0.0063922703
right_gelsight_center_y_current,0.0063646846
left_gelsight_diff_p95_mean,0.006292681
right_gelsight_center_y_mean,0.006262421
left_gelsight_center_x_range,0.006220529
left_gelsight_diff_max_max,0.0061601265
right_gelsight_center_x_mean,0.006085331
left_gelsight_raw_diff_mean_mean,0.006037638
left_gelsight_diff_max_std,0.0059944247
left_gelsight_diff_max_mean,0.005856195
left_gelsight_diff_mean_min,0.005821529
left_gelsight_diff_mean_range,0.00577641
left_gelsight_center_x_slope,0.0057582106
right_gelsight_diff_mean_std,0.0057230745
left_gelsight_slip_rate,0.005681068
right_gelsight_diff_mean_mean,0.005667142
right_gelsight_diff_mean_p95,0.005665526
left_gelsight_raw_diff_mean_p95,0.005645901
gelsight_diff_balance_ratio_mean,0.005563743
left_gelsight_raw_diff_mean_slope,0.0054439665
left_gelsight_diff_mean_p95,0.005366198
right_gelsight_area_stability,0.005340953
right_gelsight_diff_p95_std,0.0053399685
left_gelsight_center_y_min,0.0053149504
left_gelsight_area_growth,0.005276263
right_gelsight_center_x_max,0.0051240874
right_gelsight_contact_area_p95,0.005073984
left_gelsight_center_y_p95,0.0050127064
right_gelsight_diff_max_std,0.0050059906
left_gelsight_raw_diff_mean_min,0.0048831496
gelsight_area_balance_absdiff_current,0.004789189
gelsight_diff_balance_ratio_slope,0.004640535
left_gelsight_diff_mean_mean,0.0046085077
right_gelsight_diff_mean_range,0.0045916927
right_gelsight_area_mean,0.0045678727
left_gelsight_area_max,0.004563472
left_gelsight_diff_mean_slope,0.0045585465
left_gelsight_diff_p95_std,0.0044336133
left_gelsight_diff_p95_slope,0.0043294006
right_gelsight_contact_area_mean,0.004306655
right_gelsight_diff_max_slope,0.004208347
left_gelsight_center_y_mean,0.0041832537
left_gelsight_diff_max_p95,0.004177453
right_gelsight_center_y_slope,0.0041694078
gelsight_area_balance_ratio_slope,0.004152125
right_gelsight_diff_p95_slope,0.0040589026
right_gelsight_center_y_min,0.0037999037
right_gelsight_diff_max_range,0.003601603
left_gelsight_contact_area_p95,0.0035658018
right_gelsight_contact_area_std,0.0035623268
left_gelsight_contact_area_current,0.003500579
left_gelsight_center_x_std,0.0031244783
right_gelsight_raw_diff_mean_slope,0.0029188965
left_gelsight_diff_max_range,0.002264939
right_gelsight_diff_p95_range,0.0013617887
left_gelsight_center_y_missing_ratio,0.0
right_gelsight_center_y_missing_ratio,0.0
left_gelsight_diff_p95_current,0.0
left_gelsight_contact_ratio,0.0
left_gelsight_contact_area_min,0.0
left_gelsight_contact_area_max,0.0
left_gelsight_diff_p95_range,0.0
left_gelsight_diff_p95_p95,0.0
left_gelsight_diff_p95_max,0.0
left_gelsight_diff_p95_min,0.0
right_gelsight_contact_area_max,0.0
left_gelsight_diff_max_min,0.0
right_gelsight_contact_area_min,0.0
right_gelsight_contact_ratio,0.0
right_gelsight_diff_max_min,0.0
right_gelsight_diff_p95_max,0.0
right_gelsight_diff_p95_min,0.0
right_gelsight_diff_p95_p95,0.0
