feature,importance
right_gelsight_diff_p95_current,0.09320738
right_gelsight_raw_diff_mean_current,0.0269928
gelsight_diff_balance_absdiff_current,0.024143977
gelsight_area_balance_absdiff_current,0.024055418
right_gelsight_diff_max_current,0.0227562
right_gelsight_diff_mean_current,0.022439424
right_gelsight_contact_area_range,0.020029621
right_gelsight_raw_diff_mean_slope,0.0139534185
right_gelsight_raw_diff_mean_range,0.013042351
right_gelsight_raw_diff_mean_std,0.01172383
left_gelsight_center_x_mean,0.011360209
left_gelsight_contact_area_std,0.011230883
right_gelsight_center_y_range,0.011198718
left_gelsight_center_x_current,0.010768177
right_gelsight_area_growth,0.010504434
left_gelsight_area_mean,0.0104861185
left_gelsight_raw_diff_mean_std,0.0104809115
left_gelsight_diff_mean_current,0.010379376
right_gelsight_raw_diff_mean_max,0.010185857
left_gelsight_center_x_p95,0.009914253
right_gelsight_center_y_max,0.009638925
right_gelsight_center_y_std,0.009294474
right_gelsight_center_x_current,0.009180293
right_gelsight_diff_mean_std,0.009178416
right_gelsight_center_x_p95,0.008882255
right_gelsight_center_x_slope,0.00887493
right_gelsight_contact_area_current,0.008817803
right_gelsight_contact_area_std,0.008460523
left_gelsight_contact_area_slope,0.0084425695
right_gelsight_slip_rate,0.008349723
right_gelsight_raw_diff_mean_mean,0.008334041
right_gelsight_center_y_p95,0.008279175
right_gelsight_diff_mean_max,0.008240756
right_gelsight_diff_mean_min,0.008154456
left_gelsight_center_y_range,0.00814826
right_gelsight_center_y_min,0.0079827495
gelsight_diff_balance_absdiff_mean,0.007945811
right_gelsight_diff_max_p95,0.007922114
right_gelsight_center_x_std,0.007894976
gelsight_diff_balance_ratio_current,0.007792146
right_gelsight_diff_mean_range,0.007777024
right_gelsight_center_x_min,0.007643931
left_gelsight_area_stability,0.0075897756
left_gelsight_contact_area_mean,0.007582641
right_gelsight_center_x_range,0.0075646034
gelsight_diff_balance_ratio_max,0.0074472846
left_gelsight_center_x_max,0.0073424336
gelsight_area_balance_absdiff_slope,0.007292168
left_gelsight_raw_diff_mean_max,0.007209457
right_gelsight_raw_diff_mean_p95,0.007166625
left_gelsight_diff_p95_mean,0.0071589216
left_gelsight_center_y_current,0.0071449582
left_gelsight_diff_max_current,0.0071271043
gelsight_diff_balance_ratio_mean,0.0069790883
left_gelsight_center_y_std,0.0068753473
left_gelsight_diff_mean_max,0.006861238
right_gelsight_center_x_missing_ratio,0.006806303
right_gelsight_raw_diff_mean_min,0.0067642936
right_gelsight_area_max,0.006730716
left_gelsight_diff_mean_std,0.0066759707
gelsight_area_balance_ratio_max,0.0066674827
right_gelsight_diff_p95_slope,0.0066347066
left_gelsight_center_y_max,0.006530917
left_gelsight_diff_mean_slope,0.0064333626
left_gelsight_diff_max_max,0.006261943
gelsight_diff_balance_absdiff_max,0.006209485
right_gelsight_diff_max_slope,0.0061284136
right_gelsight_diff_mean_mean,0.006088116
right_gelsight_diff_max_std,0.0060720034
gelsight_area_balance_ratio_current,0.0060061514
gelsight_area_balance_absdiff_max,0.0059279487
right_gelsight_center_x_max,0.005864028
left_gelsight_diff_mean_range,0.0058591235
left_gelsight_area_growth,0.0057633067
