feature,importance
right_torque_norm_delta_current,0.06546489
left_torque_norm_delta_current,0.05783714
left_torque_norm_current,0.040809024
right_force_norm_delta_max,0.036727313
right_torque_norm_current,0.036529716
right_force_ty_min,0.027990997
right_force_ty_current,0.025967339
right_force_fx_current,0.022201616
right_force_fx_min,0.02196486
left_force_ty_current,0.018683854
left_force_fx_current,0.01579375
right_force_norm_current,0.015312719
left_force_ty_max,0.014822874
left_force_tx_min,0.014369483
right_force_tx_std,0.013516929
left_force_tx_std,0.013160512
left_force_tz_min,0.011561093
right_force_tz_max,0.010729023
left_force_ty_std,0.010670848
right_force_tz_range,0.010569458
right_torque_norm_delta_max,0.010425677
left_force_norm_delta_min,0.010213907
left_gelsight_center_x_mean,0.010160816
right_force_tz_p95,0.010142808
right_gelsight_contact_area_range,0.010134968
left_gelsight_center_x_current,0.010033969
right_force_tx_range,0.009977368
right_force_tz_std,0.009793286
left_force_tz_range,0.009766201
left_force_fz_max,0.009691989
right_force_norm_delta_std,0.009648291
right_force_tz_slope,0.0089030415
right_force_norm_delta_current,0.008440642
torque_balance_ratio_current,0.008283553
right_gelsight_raw_diff_mean_max,0.008254811
right_gelsight_center_x_current,0.008175461
right_gelsight_center_x_range,0.008085577
left_force_fz_p95,0.007877256
left_torque_norm_delta_range,0.007863128
left_gelsight_center_y_min,0.007737367
right_force_tz_mean,0.0077225193
right_gelsight_center_x_std,0.0075183334
left_torque_norm_delta_mean,0.007236072
left_gelsight_center_y_current,0.00718058
right_gelsight_diff_mean_std,0.007154904
left_force_norm_current,0.0071328525
right_force_tz_min,0.007114769
left_gelsight_diff_max_current,0.0071066082
left_force_fz_range,0.0071059754
left_force_ty_range,0.0070725586
left_force_tz_std,0.0070717726
left_force_fx_max,0.006992234
left_force_tx_range,0.0069815223
right_gelsight_raw_diff_mean_mean,0.006929214
left_gelsight_center_x_p95,0.006914392
right_gelsight_diff_mean_range,0.0068777506
right_gelsight_center_x_slope,0.006850551
left_gelsight_diff_mean_current,0.006647157
left_force_norm_delta_max,0.0065991185
right_force_fx_std,0.0065275584
left_force_fz_min,0.006518057
right_force_fy_min,0.0063953223
right_gelsight_raw_diff_mean_range,0.0062957443
left_gelsight_raw_diff_mean_slope,0.0062864954
right_force_fy_max,0.0062381714
left_gelsight_contact_area_slope,0.006231205
right_gelsight_center_y_std,0.0062193796
right_force_fy_p95,0.0061932993
right_force_fy_std,0.0061805816
right_force_ty_p95,0.006128579
left_torque_norm_delta_min,0.006050875
right_force_fz_range,0.005962799
left_torque_norm_mean,0.005934782
left_gelsight_diff_mean_std,0.0058020647
left_gelsight_raw_diff_mean_current,0.0056507327
left_force_fy_current,0.0052376487
right_gelsight_diff_p95_std,0.0051893136
right_gelsight_raw_diff_mean_min,0.005078118
left_gelsight_diff_mean_range,0.0050169826
right_force_tz_current,0.0049496996
right_gelsight_center_y_missing_ratio,0.0049455236
left_gelsight_center_y_p95,0.004917177
right_force_norm_delta_min,0.0048259427
left_force_ty_slope,0.004728794
force_balance_absdiff_current,0.004557711
left_force_fz_mean,0.0044295467
gelsight_diff_balance_ratio_max,0.004428619
left_force_norm_std,0.0043534883
right_torque_norm_min,0.003899681
right_torque_norm_max,0.003829381
right_gelsight_center_y_range,0.0038141473
force_balance_ratio_mean,0.0037481945
left_gelsight_diff_p95_mean,0.003474468
right_force_fx_range,0.0033835627
left_force_tx_p95,0.0029269876
left_force_tz_mean,0.0027796733
right_torque_norm_delta_range,0.0026493324
left_force_fy_range,0.0022556586
left_force_tx_mean,0.0022442914
left_force_tx_current,0.0012179281
