feature,importance
right_force_norm_max,0.12254468
left_torque_norm_current,0.054425295
right_torque_norm_delta_current,0.05312502
right_torque_norm_current,0.033461664
right_force_ty_current,0.024201613
right_force_fx_current,0.02168197
left_force_ty_max,0.020828228
right_torque_norm_delta_max,0.01666306
right_force_fx_std,0.016657442
left_force_norm_delta_max,0.015972042
right_force_norm_delta_max,0.015416226
right_force_norm_current,0.014390647
left_torque_norm_delta_slope,0.014364564
left_force_tx_min,0.013548425
left_force_tz_std,0.013451886
right_torque_norm_max,0.01322465
right_force_fx_min,0.013136923
left_torque_norm_std,0.011973844
left_force_ty_current,0.011768947
left_force_fx_current,0.011482554
right_force_tx_range,0.011385137
left_force_tx_std,0.010918867
right_force_fy_p95,0.010729359
right_force_tz_max,0.010539127
right_force_norm_delta_current,0.010525761
left_force_fz_max,0.010498415
left_torque_norm_range,0.0101050325
right_force_fx_range,0.009767234
right_force_tx_std,0.00966619
left_torque_norm_mean,0.00923767
right_force_tz_p95,0.009140243
left_force_fz_range,0.00840735
left_force_fy_current,0.008385229
left_force_norm_delta_current,0.008371554
torque_balance_ratio_current,0.008335704
right_force_fy_max,0.0081323
left_force_tz_min,0.007991254
left_force_fx_max,0.007794526
left_force_tx_range,0.007438783
right_force_fz_mean,0.007349378
right_force_tz_std,0.0072352127
left_force_ty_range,0.007206021
right_force_tz_range,0.0072010527
left_torque_norm_delta_mean,0.007179238
left_torque_norm_delta_range,0.0071417633
left_torque_norm_delta_min,0.0071396767
right_force_fx_p95,0.007055553
right_force_norm_delta_std,0.0070139556
left_force_ty_std,0.0069234665
left_force_fx_range,0.0066862507
left_torque_norm_delta_current,0.0065325797
left_force_fz_mean,0.0064604403
left_torque_norm_delta_max,0.006423425
right_force_fy_std,0.0064114598
left_force_fz_p95,0.0063932682
left_force_norm_delta_min,0.006249358
right_force_fy_min,0.006148667
left_force_norm_current,0.0060320133
right_force_ty_min,0.0059815617
left_force_fx_min,0.005977579
left_force_fz_std,0.005863819
right_force_tx_min,0.0058097057
left_torque_norm_delta_std,0.00577379
right_force_tz_mean,0.005668579
right_force_fz_min,0.0055798166
left_force_tz_range,0.0055775805
torque_balance_absdiff_mean,0.0055361986
right_force_tz_min,0.005493802
force_balance_ratio_slope,0.0054156813
left_force_norm_mean,0.005088737
right_force_fy_current,0.005019108
right_force_fz_current,0.0049893977
right_force_tz_current,0.004962633
left_force_tx_slope,0.004860854
right_force_fy_range,0.0048102504
force_balance_absdiff_slope,0.004799311
left_force_norm_delta_std,0.0047558835
right_force_fz_slope,0.004752263
left_force_fy_max,0.004687532
right_force_fy_mean,0.004327501
right_force_norm_delta_min,0.004196206
right_torque_norm_slope,0.004166539
left_force_fy_std,0.0041499166
force_balance_ratio_current,0.004140461
left_force_fx_mean,0.0040578325
right_torque_norm_p95,0.004017666
left_force_tz_p95,0.0039736205
left_force_tx_mean,0.003894017
left_force_norm_delta_slope,0.0037122585
right_torque_norm_delta_min,0.0035887694
right_force_norm_delta_p95,0.003452045
force_balance_absdiff_mean,0.0033840183
torque_balance_ratio_mean,0.0033788753
right_force_fy_slope,0.0032476988
left_force_fy_slope,0.0031736125
right_force_ty_p95,0.0028673639
right_force_ty_max,0.0028236802
left_force_fx_slope,0.002162921
left_torque_norm_slope,0.0014087032
right_force_norm_min,0.0
