feature,importance
right_gelsight_diff_p95_current,0.08489679
right_gelsight_raw_diff_mean_current,0.03654507
gelsight_diff_balance_absdiff_current,0.026849395
gelsight_area_balance_absdiff_max,0.023843314
right_gelsight_diff_mean_current,0.023195338
right_gelsight_contact_area_current,0.019404594
right_gelsight_diff_mean_max,0.015452845
right_gelsight_diff_max_current,0.01518199
gelsight_diff_balance_absdiff_max,0.014829354
right_gelsight_raw_diff_mean_max,0.014704259
left_gelsight_center_x_current,0.013545863
left_gelsight_contact_area_mean,0.013493812
right_gelsight_center_y_std,0.013137197
left_gelsight_center_x_mean,0.012777756
left_gelsight_diff_mean_current,0.012557882
right_gelsight_center_y_range,0.012212069
gelsight_diff_balance_absdiff_mean,0.010962849
left_gelsight_contact_area_std,0.010804853
right_gelsight_center_x_current,0.010789794
right_gelsight_diff_mean_min,0.010744047
left_gelsight_raw_diff_mean_std,0.010736806
right_gelsight_slip_rate,0.010626646
right_gelsight_area_max,0.0104329735
right_gelsight_diff_max_mean,0.010427071
left_gelsight_center_x_max,0.010401055
right_gelsight_area_growth,0.010327632
right_gelsight_center_x_range,0.0101205995
right_gelsight_center_y_p95,0.01009833
right_gelsight_diff_mean_range,0.009995068
left_gelsight_center_y_range,0.009921671
right_gelsight_diff_max_max,0.009917486
gelsight_diff_balance_ratio_max,0.009882488
right_gelsight_diff_mean_std,0.009881431
gelsight_area_balance_absdiff_current,0.009880438
left_gelsight_area_mean,0.009744374
right_gelsight_center_x_min,0.009481351
gelsight_diff_balance_ratio_current,0.009359688
right_gelsight_raw_diff_mean_mean,0.009352343
left_gelsight_center_y_max,0.009345866
left_gelsight_raw_diff_mean_max,0.009279078
left_gelsight_center_y_current,0.0092514325
left_gelsight_diff_mean_std,0.009213473
gelsight_area_balance_ratio_current,0.009195758
left_gelsight_center_x_p95,0.009187192
right_gelsight_raw_diff_mean_std,0.009072643
right_gelsight_contact_area_range,0.008905035
left_gelsight_center_y_p95,0.0086985845
right_gelsight_raw_diff_mean_p95,0.008563368
left_gelsight_diff_mean_max,0.008480698
right_gelsight_center_x_slope,0.00830042
right_gelsight_raw_diff_mean_min,0.008261096
right_gelsight_center_x_missing_ratio,0.008151939
right_gelsight_center_x_std,0.008098984
left_gelsight_area_growth,0.00801503
left_gelsight_diff_max_current,0.007973444
gelsight_diff_balance_ratio_mean,0.0077805826
gelsight_area_balance_absdiff_slope,0.0076216697
right_gelsight_diff_max_slope,0.0074938294
right_gelsight_raw_diff_mean_range,0.0074544526
left_gelsight_contact_area_slope,0.007401228
right_gelsight_diff_p95_mean,0.007284636
left_gelsight_raw_diff_mean_mean,0.0072232913
left_gelsight_diff_p95_mean,0.007220153
gelsight_diff_balance_absdiff_slope,0.007162608
left_gelsight_diff_mean_range,0.007072268
left_gelsight_center_y_slope,0.007059156
left_gelsight_raw_diff_mean_min,0.0069668046
right_gelsight_diff_max_p95,0.00695915
gelsight_area_balance_ratio_mean,0.006852503
left_gelsight_diff_mean_min,0.006819774
gelsight_diff_balance_ratio_slope,0.00681543
right_gelsight_diff_mean_mean,0.006771492
gelsight_area_balance_absdiff_mean,0.006651425
left_gelsight_center_y_std,0.0065703397
right_gelsight_center_y_current,0.006505339
left_gelsight_area_stability,0.0062053422
right_gelsight_center_y_max,0.006189093
right_gelsight_center_x_mean,0.0061849854
left_gelsight_center_x_slope,0.0061308453
gelsight_area_balance_ratio_max,0.006082247
left_gelsight_center_x_min,0.0060420884
left_gelsight_diff_mean_slope,0.0060311826
right_gelsight_center_x_p95,0.0059518693
right_gelsight_center_y_mean,0.005929201
right_gelsight_diff_p95_slope,0.0058365976
right_gelsight_center_x_max,0.005826459
right_gelsight_diff_max_std,0.005769268
left_gelsight_diff_max_std,0.0057518273
left_gelsight_raw_diff_mean_p95,0.0057362095
left_gelsight_center_y_min,0.005649652
left_gelsight_slip_rate,0.0054375553
right_gelsight_center_y_slope,0.0053717345
left_gelsight_raw_diff_mean_current,0.004909076
left_gelsight_center_x_range,0.0048660347
left_gelsight_center_x_std,0.0047068372
left_gelsight_diff_max_max,0.004500202
right_gelsight_contact_area_std,0.004048994
left_gelsight_center_y_mean,0.0039574695
right_gelsight_center_y_min,0.0036475523
right_gelsight_raw_diff_mean_slope,0.003041037
