episode_id,episode_dir,jsonl_path,object_type,force_level,label,trial_number,duration_sec,num_synced_records,left_force_valid_ratio,right_force_valid_ratio,left_gelsight_valid_ratio,right_gelsight_valid_ratio,quality_flag
episode_20260722T034046_682614Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/01/episodes/episode_20260722T034046_682614Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/01/episodes/episode_20260722T034046_682614Z_000001/synced_data.jsonl,bottle_cap,high,too_high,01,12.32581353187561,717,1.0,1.0,1.0,1.0,ok
episode_20260722T034107_023369Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/02/episodes/episode_20260722T034107_023369Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/02/episodes/episode_20260722T034107_023369Z_000001/synced_data.jsonl,bottle_cap,high,too_high,02,14.980114459991455,854,1.0,1.0,1.0,1.0,ok
episode_20260722T034152_122077Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/03/episodes/episode_20260722T034152_122077Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/03/episodes/episode_20260722T034152_122077Z_000001/synced_data.jsonl,bottle_cap,high,too_high,03,14.982417583465576,817,1.0,1.0,1.0,1.0,ok
episode_20260722T034212_961506Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/04/episodes/episode_20260722T034212_961506Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/04/episodes/episode_20260722T034212_961506Z_000001/synced_data.jsonl,bottle_cap,high,too_high,04,14.98126745223999,827,1.0,1.0,1.0,1.0,ok
episode_20260722T034308_471538Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/05/episodes/episode_20260722T034308_471538Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/05/episodes/episode_20260722T034308_471538Z_000001/synced_data.jsonl,bottle_cap,high,too_high,05,14.59708547592163,906,1.0,1.0,1.0,1.0,ok
episode_20260722T034328_939636Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/06/episodes/episode_20260722T034328_939636Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/06/episodes/episode_20260722T034328_939636Z_000001/synced_data.jsonl,bottle_cap,high,too_high,06,14.979628801345825,953,1.0,1.0,1.0,1.0,ok
episode_20260722T034350_526301Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/07/episodes/episode_20260722T034350_526301Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/07/episodes/episode_20260722T034350_526301Z_000001/synced_data.jsonl,bottle_cap,high,too_high,07,13.479398965835571,786,1.0,1.0,1.0,1.0,ok
episode_20260722T034410_107983Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/08/episodes/episode_20260722T034410_107983Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/08/episodes/episode_20260722T034410_107983Z_000001/synced_data.jsonl,bottle_cap,high,too_high,08,14.963518857955933,933,1.0,1.0,1.0,1.0,ok
episode_20260722T034448_350028Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/09/episodes/episode_20260722T034448_350028Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/09/episodes/episode_20260722T034448_350028Z_000001/synced_data.jsonl,bottle_cap,high,too_high,09,14.915840148925781,978,1.0,1.0,1.0,1.0,ok
episode_20260722T034618_303189Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/10/episodes/episode_20260722T034618_303189Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/10/episodes/episode_20260722T034618_303189Z_000001/synced_data.jsonl,bottle_cap,high,too_high,10,14.981722116470337,739,1.0,1.0,1.0,1.0,ok
episode_20260722T034639_555880Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/11/episodes/episode_20260722T034639_555880Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/11/episodes/episode_20260722T034639_555880Z_000001/synced_data.jsonl,bottle_cap,high,too_high,11,14.982778787612915,864,1.0,1.0,1.0,1.0,ok
episode_20260722T034749_810776Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/12/episodes/episode_20260722T034749_810776Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/12/episodes/episode_20260722T034749_810776Z_000001/synced_data.jsonl,bottle_cap,high,too_high,12,14.980828523635864,903,1.0,1.0,1.0,1.0,ok
episode_20260722T034810_941389Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/13/episodes/episode_20260722T034810_941389Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/13/episodes/episode_20260722T034810_941389Z_000001/synced_data.jsonl,bottle_cap,high,too_high,13,14.98122525215149,845,1.0,1.0,1.0,1.0,ok
episode_20260722T034831_419855Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/14/episodes/episode_20260722T034831_419855Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/14/episodes/episode_20260722T034831_419855Z_000001/synced_data.jsonl,bottle_cap,high,too_high,14,14.932161808013916,867,1.0,1.0,1.0,1.0,ok
episode_20260722T034851_671557Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/15/episodes/episode_20260722T034851_671557Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/15/episodes/episode_20260722T034851_671557Z_000001/synced_data.jsonl,bottle_cap,high,too_high,15,14.950725317001343,799,1.0,1.0,1.0,1.0,ok
episode_20260722T034912_845375Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/16/episodes/episode_20260722T034912_845375Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/16/episodes/episode_20260722T034912_845375Z_000001/synced_data.jsonl,bottle_cap,high,too_high,16,14.951032400131226,877,1.0,1.0,1.0,1.0,ok
episode_20260722T035153_731479Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/17/episodes/episode_20260722T035153_731479Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/17/episodes/episode_20260722T035153_731479Z_000001/synced_data.jsonl,bottle_cap,high,too_high,17,13.973619937896729,610,1.0,1.0,1.0,1.0,ok
episode_20260722T035404_009224Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/18/episodes/episode_20260722T035404_009224Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/18/episodes/episode_20260722T035404_009224Z_000001/synced_data.jsonl,bottle_cap,high,too_high,18,14.916254997253418,830,1.0,1.0,1.0,1.0,ok
episode_20260722T035427_087550Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/19/episodes/episode_20260722T035427_087550Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/19/episodes/episode_20260722T035427_087550Z_000001/synced_data.jsonl,bottle_cap,high,too_high,19,14.917457342147827,801,1.0,1.0,1.0,1.0,ok
