episode_id,episode_dir,jsonl_path,object_type,force_level,label,trial_number,contact_start_sec,evaluation_time_sec,phase,phase_confidence,left_force_outlier_ratio,right_force_outlier_ratio,grasp_start_sec,grasp_end_sec,fallback_evaluation_sec,quality_flag,error_detail,review_status
episode_20260722T034046_682614Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/01/episodes/episode_20260722T034046_682614Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/01/episodes/episode_20260722T034046_682614Z_000001/synced_data.jsonl,bottle_cap,high,too_high,01,3.0091285705566406,5.492291212081909,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034107_023369Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/02/episodes/episode_20260722T034107_023369Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/02/episodes/episode_20260722T034107_023369Z_000001/synced_data.jsonl,bottle_cap,high,too_high,02,3.506089448928833,4.306089448928833,contact_unsettled_fallback,0.5,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034152_122077Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/03/episodes/episode_20260722T034152_122077Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/03/episodes/episode_20260722T034152_122077Z_000001/synced_data.jsonl,bottle_cap,high,too_high,03,3.136491060256958,3.93729829788208,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034212_961506Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/04/episodes/episode_20260722T034212_961506Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/04/episodes/episode_20260722T034212_961506Z_000001/synced_data.jsonl,bottle_cap,high,too_high,04,3.618776559829712,6.626723051071167,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034308_471538Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/05/episodes/episode_20260722T034308_471538Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/05/episodes/episode_20260722T034308_471538Z_000001/synced_data.jsonl,bottle_cap,high,too_high,05,3.169660806655884,6.2568159103393555,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034328_939636Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/06/episodes/episode_20260722T034328_939636Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/06/episodes/episode_20260722T034328_939636Z_000001/synced_data.jsonl,bottle_cap,high,too_high,06,3.632201910018921,4.432201910018921,contact_unsettled_fallback,0.5,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034350_526301Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/07/episodes/episode_20260722T034350_526301Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/07/episodes/episode_20260722T034350_526301Z_000001/synced_data.jsonl,bottle_cap,high,too_high,07,3.6653153896331787,6.72563624382019,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034410_107983Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/08/episodes/episode_20260722T034410_107983Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/08/episodes/episode_20260722T034410_107983Z_000001/synced_data.jsonl,bottle_cap,high,too_high,08,3.455483913421631,4.450361967086792,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034448_350028Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/09/episodes/episode_20260722T034448_350028Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/09/episodes/episode_20260722T034448_350028Z_000001/synced_data.jsonl,bottle_cap,high,too_high,09,3.3768668174743652,6.354448556900024,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
episode_20260722T034618_303189Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/10/episodes/episode_20260722T034618_303189Z_000001,/home/ktakahashi/UMI-gripper-yue/UMI_ws/data_yue/train/bottle_cap/high/10/episodes/episode_20260722T034618_303189Z_000001/synced_data.jsonl,bottle_cap,high,too_high,10,3.9517786502838135,5.135056495666504,adaptive_settled_contact,0.8,0.0,0.0,3.0,7.0,3.0,ok,,auto_ok
